DATA Timestamp
94.0 1644860062607
94.0 1644860063854
92.0 1644860064698
92.0 1644860065692
93.0 1644860066700
93.0 1644860067705
93.0 1644860068705
93.0 1644860069710
93.0 1644860070717
94.0 1644860071713
94.0 1644860072722
95.0 1644860073720
96.0 1644860074677
96.0 1644860075675
96.0 1644860076682
95.0 1644860077687
97.0 1644860078687
98.0 1644860079696
99.0 1644860080701
101.0 1644860081695
102.0 1644860082704
103.0 1644860083706
103.0 1644860084708
103.0 1644860085715
101.0 1644860086712
101.0 1644860087720
103.0 1644860088725
103.0 1644860089724
102.0 1644860090729
102.0 1644860091733
103.0 1644860092732
105.0 1644860093740
106.0 1644860094740
107.0 1644860095744
107.0 1644860096751
107.0 1644860097749
109.0 1644860098757
112.0 1644860099754
113.0 1644860100757
113.0 1644860101764
113.0 1644860102775
114.0 1644860103775
114.0 1644860104777
118.0 1644860105784
119.0 1644860106781
120.0 1644860107786
120.0 1644860108787
120.0 1644860109793
120.0 1644860110802
119.0 1644860111800
119.0 1644860112806
118.0 1644860113805
118.0 1644860114809
118.0 1644860115810
119.0 1644860116872
