X Y Z Timestamp
0.69152576 1.6845472 9.58804 1644972145097
0.70588267 1.6319051 9.645468 1644972145097
0.6939186 1.6462619 9.616755 1644972145097
0.70348984 1.672583 9.602397 1644972145122
0.701097 1.7084754 9.578469 1644972145122
0.70348984 1.7108682 9.585648 1644972145142
0.69152576 1.698904 9.583255 1644972145174
0.69152576 1.6845472 9.58804 1644972145175
0.7082755 1.6773686 9.5760765 1644972145176
0.715454 1.7012969 9.597611 1644972145176
0.715454 1.6917256 9.60479 1644972145187
0.71306115 1.6558332 9.611969 1644972145188
0.71306115 1.6654046 9.602397 1644972145192
0.72263247 1.6677973 9.611969 1644972145209
0.715454 1.6414764 9.626326 1644972145220
0.7106683 1.6342978 9.652647 1644972145224
0.71306115 1.6582261 9.659825 1644972145229
0.72263247 1.7012969 9.638289 1644972145244
0.72741807 1.7204394 9.592826 1644972145258
0.7465607 1.7898313 9.590433 1644972145262
0.7537391 1.7754744 9.609575 1644972145268
0.6987042 1.6438692 9.6071825 1644972145280
0.6628119 1.6247265 9.602397 1644972145301
0.715454 1.7252251 9.614362 1644972145319
0.7298109 1.7467605 9.638289 1644972145328
0.70588267 1.6821543 9.643075 1644972145345
0.7322037 1.6893328 9.664611 1644972145355
0.7513463 1.7443677 9.650253 1644972145405
0.74416786 1.7778672 9.628718 1644972145520
0.7298109 1.7659031 9.614362 1644972145523
0.6987042 1.7587247 9.595219 1644972145533
0.6771688 1.7587247 9.568898 1644972145536
0.65084773 1.753939 9.568898 1644972145538
0.66759753 1.7347964 9.554541 1644972145539
0.6580262 1.7347964 9.549755 1644972145540
0.6580262 1.7300107 9.554541 1644972145540
0.65084773 1.7012969 9.5760765 1644972145541
0.64845496 1.6917256 9.6071825 1644972145541
0.64606214 1.6606189 9.619147 1644972145541
0.66999036 1.6534405 9.631111 1644972145542
0.6867401 1.6701902 9.650253 1644972145542
0.6723832 1.6366907 9.698111 1644972145543
0.65084773 1.5625132 9.7196455 1644972145548
0.61734825 1.5625132 9.779466 1644972145548
0.55034924 1.5625132 9.9038925 1644972145548
0.3684947 1.5122639 9.973285 1644972145573
-0.3397808 1.7754744 10.009177 1644972145603
-2.4263222 2.754139 8.303095 1644972145621
-3.4791641 1.6319051 8.463413 1644972145661
0.526421 3.2015967 9.413364 1644972145672
2.3234308 2.3808584 10.226924 1644972145679
1.1820544 -0.086141616 10.241281 1644972145680
-0.03589234 -0.32063824 10.291531 1644972145680
-0.0047856453 1.1892328 10.380065 1644972145689
-0.23928227 1.6414764 10.425529 1644972145708
-0.5288138 1.6342978 10.353744 1644972145708
-0.5886344 1.6917256 10.3441725 1644972145710
-0.57427746 1.6749759 10.258031 1644972145712
-0.5886344 1.6797615 10.21496 1644972145721
-0.49292147 1.7491534 10.162318 1644972145724
-0.37567315 1.7180467 10.150353 1644972145725
-0.25842485 1.6319051 10.21496 1644972145729
-0.09810573 1.6749759 10.313066 1644972145730
-0.043070808 1.8137596 10.3441725 1644972145731
-0.0047856453 2.0267208 10.353744 1644972145733
0.040677983 2.1966112 10.334601 1644972145733
0.038285162 2.292324 10.21496 1644972145737
0.10767702 2.3545375 10.13839 1644972145741
0.28713873 2.2731814 10.119247 1644972145751
0.57188463 2.0721843 10.004392 1644972145757
0.8997013 1.7922242 9.958928 1644972145767
1.2155539 1.375873 9.97807 1644972145774
1.4931214 0.97866446 10.001999 1644972145791
1.7228323 0.7369894 9.982856 1644972145797
1.9214365 0.6053841 9.858429 1644972145814
2.1128623 0.6412765 9.595219 1644972145814
2.2564318 0.8470592 9.217153 1644972145829
2.2875385 0.91884387 8.779266 1644972145831
2.184647 0.6412765 8.506484 1644972145845
2.143969 0.47377887 8.439486 1644972145853
2.3425734 0.60059845 8.525627 1644972145864
2.629712 0.6580262 8.611769 1644972145874
2.8689942 0.7465607 8.573483 1644972145881
3.010171 0.8925229 8.451449 1644972145895
3.1058838 0.91884387 8.29113 1644972145900
3.1058838 0.83748794 8.178668 1644972145914
3.141776 0.80877405 8.051848 1644972145923
3.2757742 0.9164511 7.8293157 1644972145931
3.2422748 0.86141616 7.3603225 1644972145943
3.0604203 0.4211368 6.9344 1644972145953
2.9096723 -0.16271193 6.826723 1644972145964
2.9599216 -0.6891329 6.853044 1644972145969
3.1082766 -1.4404793 7.2023964 1644972145983
3.3930225 -2.2564318 7.8077803 1644972145990
3.7447674 -2.5794628 8.379665 1644972146003
3.979264 -2.4263222 8.693125 1644972146017
4.089334 -2.1008983 8.781659 1644972146021
4.2352962 -1.8424734 8.676374 1644972146045
4.354937 -1.7060826 8.394022 1644972146046
4.316652 -1.8185452 8.195417 1644972146054
4.314259 -2.0195422 8.260024 1644972146067
4.5487556 -2.0386848 8.396415 1644972146073
4.599005 -1.8161523 8.554341 1644972146085
4.2687955 -1.2634103 8.676374 1644972146095
3.8476589 -0.7298109 8.874979 1644972146104
3.6777685 -0.5455636 9.0951185 1644972146115
3.7591243 -0.8853444 9.08794 1644972146124
4.0031924 -1.6534405 9.099904 1644972146134
4.503292 -2.347359 9.06162 1644972146143
4.948357 -2.8091738 9.107083 1644972146155
5.096712 -2.9336007 9.001799 1644972146162
5.015356 -2.7302105 8.752945 1644972146174
4.7952166 -2.4071796 8.355737 1644972146182
4.4985065 -2.2037897 8.13799 1644972146194
4.1874394 -2.2181466 8.128419 1644972146203
4.091727 -2.3569303 8.367701 1644972146213
4.182654 -2.5603201 8.590233 1644972146223
4.2759743 -2.9120653 8.829515 1644972146231
4.35733 -3.3044882 9.119047 1644972146244
4.4913282 -3.4791641 9.300901 1644972146252
4.4817567 -3.4695928 9.375079 1644972146263
4.4004006 -3.3355947 9.346365 1644972146270
4.287938 -3.0939198 9.317652 1644972146282
4.17069 -2.845066 9.212367 1644972146292
4.089334 -2.7038896 9.059227 1644972146301
3.979264 -2.7086751 8.956335 1644972146313
3.9026937 -2.8115666 8.949157 1644972146321
3.8811584 -2.9958138 8.992228 1644972146330
3.8476589 -3.2327034 8.968299 1644972146342
3.818945 -3.4337006 8.937193 1644972146350
3.8069808 -3.562913 8.908479 1644972146361
3.8285162 -3.603591 8.891729 1644972146370
3.8356948 -3.546163 8.817552 1644972146384
3.8380876 -3.4408789 8.673982 1644972146390
3.7974095 -3.3619158 8.499306 1644972146401
3.7543387 -3.3403804 8.410771 1644972146410
3.7615173 -3.3044882 8.329415 1644972146419
3.7160535 -3.2949169 8.228917 1644972146431
3.696911 -3.2590244 8.169097 1644972146440
3.711268 -3.2159536 8.097312 1644972146450
3.735196 -3.1944182 8.070991 1644972146460
3.76391 -3.1369905 8.02792 1644972146472
3.739982 -3.1393833 8.037491 1644972146477
3.7040894 -3.249453 8.039884 1644972146489
3.6873398 -3.3834512 8.114061 1644972146500
3.739982 -3.4719856 8.209774 1644972146509
3.7615173 -3.507878 8.248059 1644972146518
3.6993039 -3.5174494 8.276773 1644972146529
3.6658044 -3.4672 8.283952 1644972146539
3.6777685 -3.400201 8.2456665 1644972146549
3.6921253 -3.3690944 8.149954 1644972146559
3.67059 -3.385844 8.0614195 1644972146570
3.6849468 -3.438486 8.039884 1644972146576
3.7064822 -3.4887354 8.063812 1644972146588
3.7543387 -3.574877 8.068598 1644972146598
3.778267 -3.6466618 8.145168 1644972146608
3.7663028 -3.629912 8.236095 1644972146618
3.7854455 -3.4767714 8.26481 1644972146628
3.7878382 -3.3643086 8.2145605 1644972146638
3.8093736 -3.397808 8.149954 1644972146644
3.8261235 -3.481557 8.128419 1644972146656
3.8237305 -3.5653057 8.049456 1644972146667
3.8261235 -3.6658044 8.04467 1644972146676
3.8069808 -3.739982 8.008778 1644972146685
3.7615173 -3.8356948 7.9944205 1644972146696
3.8093736 -3.8620157 8.047063 1644972146706
3.8548372 -3.8117664 8.114061 1644972146716
3.8668015 -3.6921253 8.2049885 1644972146725
3.845266 -3.505485 8.283952 1644972146735
3.7878382 -3.3523445 8.252846 1644972146745
3.737589 -3.37388 8.257631 1644972146757
3.737589 -3.5270207 8.276773 1644972146765
3.7878382 -3.7160535 8.319844 1644972146775
3.8380876 -3.7998023 8.288737 1644972146784
3.8261235 -3.723232 8.200203 1644972146796
3.8093736 -3.6179478 8.16431 1644972146805
3.8404803 -3.5294135 8.10449 1644972146815
3.859623 -3.495914 8.035098 1644972146825
3.8955152 -3.493521 8.003992 1644972146833
3.952943 -3.495914 7.944171 1644972146846
4.034299 -3.4695928 7.8891363 1644972146855
4.125226 -3.4337006 7.8436728 1644972146865
4.2041893 -3.438486 7.783852 1644972146874
4.287938 -3.4648073 7.793423 1644972146885
4.2999024 -3.5581272 7.7479596 1644972146893
4.2687955 -3.6658044 7.7551384 1644972146904
4.208975 -3.6873398 7.7814593 1644972146915
4.1180477 -3.6873398 7.908279 1644972146922
4.031906 -3.5700915 8.047063 1644972146934
3.926622 -3.3810585 8.248059 1644972146943
3.751946 -3.196811 8.513663 1644972146955
3.5772698 -3.034099 8.803194 1644972146962
3.438486 -2.9240294 8.920443 1644972146974
3.4049866 -2.9838498 8.62134 1644972146983
3.4983068 -3.1776686 8.271988 1644972146993
3.6323047 -3.3092737 8.037491 1644972147003
3.6993039 -3.2542388 7.960921 1644972147012
3.7040894 -3.117848 7.946564 1644972147023
3.7256248 -2.9599216 8.013563 1644972147033
3.7567315 -2.8570302 8.0614195 1644972147039
3.792624 -2.8642087 8.090134 1644972147052
3.7878382 -2.9096723 8.145168 1644972147062
3.7998023 -2.9575288 8.116454 1644972147074
3.8141594 -2.9671001 8.133204 1644972147079
3.7974095 -3.0699914 8.133204 1644972147093
3.8261235 -3.2087753 8.147561 1644972147099
3.8668015 -3.2757742 8.195417 1644972147123
3.8811584 -3.2422748 8.248059 1644972147123
3.8907297 -3.1322048 8.295917 1644972147130
3.8739798 -3.0412776 8.305488 1644972147142
3.8524444 -3.0747771 8.319844 1644972147150
3.871587 -3.1106694 8.34138 1644972147162
3.845266 -3.1250265 8.298309 1644972147169
3.8380876 -3.1561332 8.286345 1644972147178
3.8500516 -3.1657043 8.300702 1644972147186
3.871587 -3.1393833 8.355737 1644972147198
3.897908 -3.1130621 8.394022 1644972147218
3.9433718 -3.1322048 8.422736 1644972147219
4.0031924 -3.225525 8.343773 1644972147231
4.0677986 -3.4169507 8.269595 1644972147240
4.115655 -3.7280176 8.145168 1644972147250
4.2329035 -3.9170506 8.126026 1644972147260
4.273581 -3.888337 8.209774 1644972147271
4.261617 -3.6634114 8.283952 1644972147277
4.23051 -3.3260236 8.322237 1644972147289
4.206582 -3.0604203 8.315059 1644972147299
4.1587257 -2.9096723 8.281559 1644972147310
4.1850467 -2.7996025 8.300702 1644972147317
4.2281175 -2.914458 8.327023 1644972147328
4.2831526 -2.9718857 8.444271 1644972147339
4.328616 -2.7828526 8.482556 1644972147348
4.2448673 -2.6321049 8.3581295 1644972147359
4.125226 -2.5507488 8.267202 1644972147367
4.072584 -2.536392 8.279166 1644972147378
4.0366917 -2.6344976 8.293523 1644972147388
4.046263 -2.6392834 8.379665 1644972147396
3.9888353 -2.5339992 8.475378 1644972147403
3.8907297 -2.4933212 8.585447 1644972147418
3.859623 -2.495714 8.707481 1644972147426
3.8668015 -2.5435705 8.738588 1644972147435
3.842873 -2.6225336 8.760123 1644972147447
3.8476589 -2.5914268 8.772088 1644972147457
3.8285162 -2.4191437 8.729017 1644972147467
3.778267 -2.306681 8.683554 1644972147477
3.76391 -2.361716 8.712267 1644972147487
3.7136607 -2.5052853 8.772088 1644972147497
3.6681972 -2.5842485 8.793623 1644972147505
3.6370904 -2.5148566 8.800801 1644972147517
3.5796626 -2.4454648 8.7266245 1644972147526
3.5605202 -2.4143581 8.678768 1644972147537
3.5724843 -2.4382863 8.599805 1644972147544
3.6370904 -2.5507488 8.530413 1644972147555
3.7040894 -2.6703901 8.549556 1644972147566
3.723232 -2.6656044 8.616554 1644972147573
3.7686956 -2.5196424 8.602198 1644972147585
3.8165522 -2.37368 8.573483 1644972147595
3.8691943 -2.2348964 8.551949 1644972147606
3.938586 -2.0745773 8.623733 1644972147615
3.9744785 -1.9740787 8.762517 1644972147625
3.9625144 -1.9477576 8.807981 1644972147633
3.9481573 -1.9334008 8.863015 1644972147644
3.9720855 -1.9788643 8.898908 1644972147653
3.9840498 -2.0291135 8.925228 1644972147664
3.9864426 -2.0841484 8.889337 1644972147673
4.031906 -2.0937197 8.846265 1644972147683
4.0701914 -2.1272194 8.76491 1644972147693
4.1515474 -2.0434706 8.669196 1644972147703
4.240082 -1.8903298 8.583055 1644972147714
4.2687955 -1.8065811 8.506484 1644972147722
4.302295 -1.8161523 8.4012 1644972147730
4.3764725 -1.9118652 8.315059 1644972147744
4.4315076 -1.9334008 8.240881 1644972147753
4.4889355 -1.8329022 8.147561 1644972147764
4.508078 -1.6773686 8.082955 1644972147774
4.4913282 -1.5553347 8.085348 1644972147780
4.5391846 -1.5720844 8.015956 1644972147793
4.634897 -1.6677973 8.066205 1644972147802
4.6564326 -1.9357935 8.075776 1644972147814
4.7138605 -2.2277179 8.087741 1644972147820
4.761717 -2.3353949 8.106883 1644972147831
4.752146 -2.2851455 8.092526 1644972147845
4.735396 -2.172683 8.032705 1644972147850
4.6971107 -2.1631117 7.9393854 1644972147863
4.7018967 -2.1702902 7.8987074 1644972147874
4.723432 -2.158326 7.8699937 1644972147880
4.685147 -2.0865414 7.769495 1644972147891
4.6372905 -1.9334008 7.688139 1644972147902
4.5942197 -1.8735801 7.6833534 1644972147908
4.546363 -1.9597218 7.743174 1644972147921
4.4985065 -2.201397 7.838887 1644972147928
4.479364 -2.4885356 7.9968133 1644972147941
4.503292 -2.6895328 8.133204 1644972147949
4.546363 -2.7302105 8.2456665 1644972147961
4.5798626 -2.6488547 8.295917 1644972147969
4.5535417 -2.4909284 8.300702 1644972147978
4.476971 -2.3928227 8.269595 1644972147985
4.3669014 -2.440679 8.23131 1644972147998
4.3645086 -2.5674987 8.271988 1644972148007
4.436293 -2.7876384 8.315059 1644972148017
4.4602213 -3.0125637 8.334201 1644972148028
4.546363 -2.9766715 8.355737 1644972148036
4.5391846 -2.7852457 8.336594 1644972148047
4.517649 -2.6488547 8.255239 1644972148056
4.5224347 -2.5866413 8.2145605 1644972148068
4.54397 -2.5842485 8.2049885 1644972148078
4.6229334 -2.6416762 8.255239 1644972148086
4.6301117 -2.6871397 8.288737 1644972148098
4.618148 -2.6225336 8.293523 1644972148104
4.5918264 -2.5292134 8.262417 1644972148116
4.54397 -2.4837499 8.209774 1644972148125
4.508078 -2.4885356 8.152347 1644972148137
4.4817567 -2.4789643 8.13799 1644972148143
4.4674 -2.4478576 8.135597 1644972148158
4.438686 -2.495714 8.1020975 1644972148167
4.4195433 -2.5674987 8.111669 1644972148178
4.4147577 -2.6081767 8.130812 1644972148188
4.3932223 -2.6249263 8.190632 1644972148196
4.4195433 -2.6321049 8.262417 1644972148208
4.4482574 -2.6129622 8.279166 1644972148215
4.4482574 -2.589034 8.300702 1644972148227
4.4458647 -2.658426 8.228917 1644972148234
4.453043 -2.7445676 8.142776 1644972148242
4.4578285 -2.737389 8.106883 1644972148251
4.4339004 -2.696711 8.133204 1644972148264
4.4721856 -2.656033 8.094919 1644972148273
4.4578285 -2.672783 8.082955 1644972148285
4.438686 -2.629712 8.145168 1644972148290
4.4602213 -2.5674987 8.161918 1644972148304
4.421936 -2.5124638 8.185846 1644972148313
4.3908296 -2.536392 8.140383 1644972148323
4.4195433 -2.536392 8.114061 1644972148333
4.429115 -2.5603201 8.250452 1644972148341
4.4171505 -2.5220351 8.252846 1644972148354
4.4004006 -2.4837499 8.243274 1644972148360
4.369294 -2.457429 8.200203 1644972148374
4.3932223 -2.4909284 8.1738825 1644972148379
4.436293 -2.4885356 8.161918 1644972148392
4.4913282 -2.5196424 8.216953 1644972148399
4.5391846 -2.6201408 8.16431 1644972148413
4.546363 -2.7278178 8.075776 1644972148422
4.534399 -2.8761728 8.099705 1644972148432
4.558327 -2.9718857 8.16431 1644972148442
4.5559344 -2.9479575 8.195417 1644972148451
4.520042 -2.9072795 8.176275 1644972148458
4.5152564 -2.9216363 8.200203 1644972148472
4.56072 -2.940779 8.2456665 1644972148484
4.618148 -2.9120653 8.248059 1644972148493
4.634897 -2.8833513 8.255239 1644972148504
4.666004 -2.806781 8.248059 1644972148513
4.6396832 -2.7206392 8.219346 1644972148523
4.5894337 -2.7206392 8.2456665 1644972148533
4.5822554 -2.9216363 8.226524 1644972148543
4.601398 -3.2039895 8.286345 1644972148551
4.642076 -3.2039895 8.305488 1644972148563
4.615755 -3.0580273 8.2145605 1644972148572
4.5678983 -2.9647074 8.092526 1644972148583
